Index,,IntValue,FloatValue
int,Design,int,float
10000001,스테이지 시간 점수 증가 간격,0,1
10000002,,0,0
10000003,애니메이션 최대 속도,0,4
10000004,,0,0
10000005,플레이어 캐릭터 점프 속도,0,30
10000006,플레이어 캐릭터 점프 중력,0,50
10000007,플레이어 캐릭터 점프 최대 높이(y축),0,2
10000008,플레이어 캐릭터 점프 중력(스테이지 레벨업 당 증가량),0,50
10000009,스테이지 레벨당 애니메이션 증가속도,0,0.5
10000010,플레이어 피격 후 무적시간(s),0,1
10000011,,0,0
10000012,,0,0
10000013,,0,0
10000014,,0,0
10000015,,0,0
10000016,,0,0
10000017,,0,0
10000018,,0,0
10000019,,0,0
10000020,,0,0
10000021,,0,0
10000022,,0,0
10000023,,0,0
10000024,,0,0
10000025,,0,0
10000026,,0,0
10000027,,0,0
10000028,,0,0
10000029,,0,0
10000030,,0,0
10000031,,0,0
10000032,,0,0
10000033,,0,0
10000034,,0,0
10000035,,0,0
10000036,,0,0
10000037,,0,0
10000038,,0,0
10000039,,0,0
10000040,,0,0
10000041,,0,0
10000042,,0,0
10000043,,0,0
10000044,,0,0
10000045,,0,0
10000046,,0,0
10000047,,0,0
10000048,,0,0
10000049,,0,0
10000050,,0,0
10000051,,0,0
10000052,,0,0
10000053,,0,0
10000054,,0,0
10000055,,0,0
10000056,,0,0
10000057,,0,0
10000058,,0,0
10000059,,0,0
10000060,,0,0
10000061,,0,0
10000062,,0,0
10000063,,0,0
10000064,,0,0
10000065,,0,0
10000066,,0,0
10000067,,0,0
10000068,,0,0
10000069,,0,0
10000070,,0,0
10000071,,0,0
10000072,,0,0
10000073,,0,0
10000074,,0,0
10000075,,0,0
10000076,,0,0
10000077,,0,0
10000078,,0,0
10000079,,0,0
10000080,,0,0
10000081,,0,0
10000082,,0,0
10000083,,0,0
10000084,,0,0
10000085,,0,0
10000086,,0,0
10000087,,0,0
10000088,,0,0
10000089,,0,0
10000090,,0,0
10000091,,0,0
10000092,,0,0
10000093,,0,0
10000094,,0,0
10000095,,0,0
10000096,,0,0
10000097,,0,0
10000098,,0,0
10000099,,0,0
10000100,,0,0
10000101,,0,0
10000102,,0,0
10000103,,0,0
10000104,,0,0
10000105,,0,0
10000106,,0,0
10000107,,0,0
10000108,,0,0
10000109,,0,0
10000110,,0,0
10000111,,0,0
10000112,,0,0
10000113,,0,0
10000114,,0,0
10000115,,0,0
10000116,,0,0
10000117,,0,0
10000118,,0,0
10000119,,0,0
10000120,,0,0
10000121,,0,0
10000122,,0,0
10000123,,0,0
10000124,,0,0
10000125,,0,0
10000126,,0,0
10000127,,0,0
10000128,,0,0
10000129,,0,0
10000130,,0,0
10000131,,0,0
10000132,,0,0
10000133,,0,0
10000134,,0,0
10000135,,0,0
10000136,,0,0
10000137,,0,0
10000138,,0,0
10000139,,0,0
10000140,,0,0
10000141,,0,0
10000142,,0,0
10000143,,0,0
10000144,,0,0
10000145,,0,0
10000146,,0,0
10000147,,0,0
10000148,,0,0
10000149,,0,0
10000150,,0,0
10000151,,0,0
10000152,,0,0
10000153,,0,0
10000154,,0,0
10000155,,0,0
10000156,,0,0
10000157,,0,0
10000158,,0,0
10000159,,0,0
10000160,,0,0
10000161,,0,0
10000162,,0,0
10000163,,0,0
10000164,,0,0
10000165,,0,0
10000166,,0,0
10000167,,0,0
10000168,,0,0
10000169,,0,0
10000170,,0,0
10000171,,0,0
10000172,,0,0
10000173,,0,0
10000174,,0,0
10000175,,0,0
10000176,,0,0
10000177,,0,0
10000178,,0,0
10000179,,0,0
10000180,,0,0
10000181,,0,0
10000182,,0,0
10000183,,0,0
10000184,,0,0
10000185,,0,0
10000186,,0,0
10000187,,0,0
10000188,,0,0
10000189,,0,0
10000190,,0,0
10000191,,0,0
10000192,,0,0
10000193,,0,0
10000194,,0,0
10000195,,0,0
10000196,,0,0
10000197,,0,0
10000198,,0,0
10000199,,0,0
10000200,,0,0
10000201,,0,0
10000202,,0,0
10000203,,0,0
10000204,,0,0
10000205,,0,0
10000206,,0,0
10000207,,0,0
10000208,,0,0
10000209,,0,0
10000210,,0,0
10000211,,0,0
10000212,,0,0
10000213,,0,0
10000214,,0,0
10000215,,0,0
10000216,,0,0
10000217,,0,0
10000218,,0,0
10000219,,0,0
10000220,,0,0
10000221,,0,0
10000222,,0,0
10000223,,0,0
10000224,,0,0
10000225,,0,0
10000226,,0,0
10000227,,0,0
10000228,,0,0
10000229,,0,0
10000230,,0,0
10000231,,0,0
10000232,,0,0
10000233,,0,0
10000234,,0,0
10000235,,0,0
10000236,,0,0
10000237,,0,0
